题型	编号	题干	选项A	选项B	选项C	选项D	正确答案
多选题	183	要正确认定违反治安管理行为人的年龄，应当掌握()	按照周岁正确计算年龄	认真核实年龄	认定年龄应当以实施违反治安管理行为时为准	认定年龄应当以发现违反治安管理行为时为准	ABC
多选题	184	下列各项中，需要人民警察在笔录中注明的是()	对现场发现的违反治安管理行为人，人民警察口头传唤的	询问聋哑的违反治安管理行为人，在场有通晓手语的人提供帮助的	询问不通晓当地通用的语言文字的证人，在场配备翻译人员的	人民警察制作检查笔录，被检查人拒绝签名的	ABCD
多选题	185	公安机关应当将传唤的原因告知()	被传唤人	被传唤人家属	被传唤人所属派出所	被传唤人所属社区工作人员	AB
多选题	186	下列关于询问的表述，()是正确的	对醉酒的人约束至酒醒的时间不计入询问查证的时间内	当场处罚的治安案件可以由一名民警调查询问	被询问人就被询问事项自行提供书面材料的应当允许	询问不满十八周岁的未成年在校学生应当首先通知其所在学校的教师在场	ABC
多选题	187	被行政拘留人在被行政拘留前因同一行为被依法()的，应当折抵行政拘留时间	刑事拘留	逮捕	取保候审	强制传唤	AB
多选题	188	行政案件有下列()情形之一的，应当予以结案	作出不予处罚决定	适用调解程序的案件达成调解协议并履行	作出行政处罚等处理决定并已执行	违法行为涉嫌构成犯罪，转为刑事案件办理	ABCD
判断题	1	公安机关调解达成的协议具有强制执行力。	正确	错误		B
判断题	2	公安派出所可以作出行政拘留处罚决定。	正确	错误		B
判断题	3	违反治安管理行为在六个月内未被公安机关发现的，不再给予处罚。	正确	错误		A
判断题	4	教唆他人违反治安管理的，按其教唆的行为处罚并从重。	正确	错误		A
判断题	5	治安案件经调解达成协议并履行的，仍可给予治安处罚。	正确	错误		B
判断题	6	非法携带管制器具进入公共场所的，属于妨害公共安全的行为。	正确	错误		A
判断题	7	被处罚人对治安管理处罚决定不服的，只能申请复议，不能直接提起诉讼。	正确	错误		B
判断题	8	违反治安管理行为的处罚种类包括警告、罚款、行政拘留、有期徒刑。	正确	错误		B
判断题	9	已满十四周岁不满十八周岁的违反治安管理行为人，应当从轻或减轻处罚。	正确	错误		A
判断题	10	对违反治安管理的外国人，可以附加适用限期出境或者驱逐出境。	正确	错误		A
判断题	11	公安机关办理治安案件时，对所有涉案物品都应当扣押。	正确	错误		B
判断题	12	被处罚人申请行政复议期间，治安管理处罚决定停止执行。	正确	错误		B
判断题	13	虐待所监护、看护的幼老病残人员，情节轻微的，仅给予批评教育，不给予治安管理处罚。	正确	错误		B
判断题	14	主动投案并如实陈述违法行为的，应当不予处罚。	正确	错误		B
判断题	15	当事人对治安管理处罚决定不服的，必须先申请行政复议，再提起行政诉讼。	正确	错误		B
判断题	16	当事人达成协议的治安案件，公安机关不予处罚。	正确	错误		B
判断题	17	间歇性的精神病人在精神正常的时候违反治安管理的，应予处罚。	正确	错误		A
判断题	18	间歇性的精神病人违反治安管理的，不予处罚，但是应当责令其监护人严加看管和治疗。	正确	错误		B
判断题	19	盲人或者又聋又哑的人违反治安管理的，可以从轻、减轻或者不予处罚。	正确	错误		A
判断题	20	又聋又哑的人违反治安管理的，应当从轻、减轻或者不予处罚。	正确	错误		B
判断题	21	醉酒的人违反治安管理的，应当从轻或者减轻处罚。	正确	错误		B
判断题	22	根据《治安管理处罚法》的规定，行政拘留处罚合并执行的，最长不超过二十日。	正确	错误		A
判断题	23	根据《治安管理处罚法》的规定，行政拘留处罚合并执行的，最长不超过三十日。	正确	错误		B
判断题	24	有两种以上违反治安管理行为的，分别决定，合并执行，执行期限进行累加。	正确	错误		B
判断题	25	教唆、胁迫、诱骗他人违反治安管理的，按照其教唆、胁迫、诱骗的行为处罚。	正确	错误		A
判断题	26	共同违反治安管理的，根据违反治安管理行为人在违反治安管理行为中所起的作用，分别处罚。	正确	错误		A
判断题	27	违反治安管理行为人对报案人、控告人、举报人、证人打击报复的，应当从重处罚。	正确	错误		A
判断题	28	教唆、胁迫、诱骗他人违反治安管理的，应当从重或者加重处罚。	正确	错误		B
判断题	29	对报案人、控告人、举报人、证人打击报复的，应当从重或者加重处罚。	正确	错误		B
判断题	30	刑讯逼供或者采用威胁、引诱、欺骗等手段收集的证据，不得作为处罚的根据。	正确	错误		A
判断题	31	公安机关不能作出吊销许可证件的处罚。	正确	错误		B
判断题	32	以非法手段收集的证据，特殊情况下也可以作为处罚的根据。	正确	错误		B
判断题	33	公安机关及其人民警察在办理治安案件时，对涉及的国家秘密、商业秘密或者个人隐私，应当予以保密。	正确	错误		A
判断题	34	公安机关在查处治安案件时，如案情需要，可以查询公民与案情有关的个人隐私。	正确	错误		A
判断题	35	公安机关及其人民警察在办理治安案件时，对涉及的国家秘密、商业秘密或者个人隐私，应当停止调查。	正确	错误		B
判断题	36	在办理治安案件过程中，公安机关负责人的回避，由其所属的公安机关决定。	正确	错误		B
判断题	37	人民警察的回避可以由人民警察本人提出。	正确	错误		A
判断题	38	人民警察在办理治安案件过程中，与本案当事人有其他关系，可能影响案件公正处理的，应当回避。	正确	错误		A
判断题	39	人民警察的回避，由其所属的公安机关的上一级公安机关决定。	正确	错误		B
判断题	40	违反治安管理行为人、被侵害人或者其法定代理人没有权利要求公安机关负责人回避。	正确	错误		B
判断题	41	人民警察的回避，由其所属的公安机关决定；公安机关负责人的回避，由上一级公安机关决定。	正确	错误		A
判断题	42	公安机关在办理治安案件时，对拒绝作证的证人可以传唤。	正确	错误		B
判断题	43	公安民警对当场发现的违法犯罪嫌疑人可以进行口头传唤，但须补办传唤证。	正确	错误		B
判断题	44	需要传唤违反治安管理行为人接受调查的，经公安机关办案部门负责人批准，可以口头传唤。	正确	错误		B
判断题	45	需要传唤违反治安管理行为人接受调查的，经县级以上公安机关负责人批准，使用传唤证传唤。	正确	错误		B
判断题	46	对现场发现的违反治安管理行为人，人民警察经出示工作证件，可以口头传唤，但应当在询问笔录中注明。	正确	错误		B
判断题	47	公安机关应当将传唤的原因和依据告知被传唤人。	正确	错误		A
判断题	48	对无正当理由不接受传唤或者逃避传唤的人，可以行政拘留。	正确	错误		B
判断题	49	对不接受传唤或者逃避传唤的人，可以直接强制传唤。	正确	错误		B
判断题	50	对无正当理由不接受传唤或者逃避传唤的人，应当强制传唤。	正确	错误		B
判断题	51	对无正当理由不接受传唤或者逃避传唤的人，可以强制传唤。	正确	错误		A
判断题	52	对拒不配合公安调查工作的被传唤人，可以强制传唤。	正确	错误		B
判断题	53	现场发现的违反治安管理行为人，公安机关可以强制传唤。	正确	错误		B
判断题	54	口头传唤后不必补办传唤证，但应当在询问笔录中注明情况。	正确	错误		A
判断题	55	公安机关不必将传唤的处所通知被传唤人家属。	正确	错误		B
判断题	56	办理一般的治安案件，如果情况不是很复杂，整个案件的询问查证时间不得超过六个小时。	正确	错误		B
判断题	57	公安机关询问违法嫌疑人，必须在公安机关进行。	正确	错误		B
判断题	58	询问笔录应当由办案民警记录，被询问人要求就被询问事项自行提供书面材料的，一般不准许。	正确	错误		B
判断题	59	被询问人没有阅读能力的，人民警察应当向其宣读。	正确	错误		A
判断题	60	询问笔录记载有遗漏或者差错的，被询问人可以提出补充或者更正。	正确	错误		A
判断题	61	人民警察可以要求被询问人自行书写与被询问事项有关的书面材料。	正确	错误		A
判断题	62	询问不满十八周岁的违反治安管理行为人，应当通知其父母或者其他监护人到场。	正确	错误		A
判断题	63	询问不满十八周岁违反治安管理的在校学生，应当通知其父母或其老师都到场。	正确	错误		B
判断题	64	人民警察在公安机关以外询问被侵害人或者其他证人，应当出示工作证件和介绍信。	正确	错误		B
判断题	65	询问聋哑的违反治安管理行为人，应当有通晓手语的人提供帮助，并在笔录上注明。	正确	错误		A
判断题	66	询问聋哑的被侵害人或者其他证人，必要时可以邀请通晓手语的人提供帮助。	正确	错误		B
判断题	67	依法对卖淫女进行性病检查，应当由女警察进行。	正确	错误		B
判断题	68	对确有必要立即进行检查的，人民警察经出示工作证件，可以当场检查，一律不必出具检查证。	正确	错误		B
判断题	69	对确有必要立即进行检查的公民住所，应当出示县级以上人民政府公安机关开具的检查证。	正确	错误		A
判断题	70	对确有必要立即进行检查的公民物品，应当出示县级以上人民政府公安机关开具的检查证。	正确	错误		B
判断题	71	对确有必要立即进行检查的公民人身，应当出示县级以上人民政府公安机关开具的检查证。	正确	错误		B
判断题	72	在办理治安案件过程中，检查妇女的身体，可以由男性医师进行。	正确	错误		A
判断题	73	根据《治安管理处罚法》的规定，公安机关有对与违反治安管理行为有关的场所、物品、人身进行检查的权力。	正确	错误		A
判断题	74	办理同一起治安案件，需要对不同住宅进行检查时，可以使用同一检查证。	正确	错误		B
判断题	75	公安机关办理治安案件，对被侵害人或者善意第三人合法占有的财产，均不得扣押，但应当予以登记。	正确	错误		B
判断题	76	公安机关办理治安案件，对扣押的物品，应当妥善保管，不得挪作他用。	正确	错误		A
判断题	77	公安机关办理治安案件，对不宜长期保存的扣押物品，应当销毁。	正确	错误		B
判断题	78	公安机关办理治安案件，对不宜长期保存的扣押物品，应当返还物品持有人。	正确	错误		B
判断题	79	案件事实清楚、证据充分的，没有本人陈述，公安机关也可以作出治安管理处罚决定。	正确	错误		A
判断题	80	只有本人陈述，没有其他证据证明的，公安机关不能作出治安管理处罚决定。	正确	错误		A
判断题	81	公安机关查处治安案件，对没有本人陈述，案件清楚，虽证据有所欠缺，也可以作出治安管理处罚决定。	正确	错误		B
判断题	82	公安机关不得因违反治安管理行为人的陈述、申辩而加重处罚。	正确	错误		A
判断题	83	公安机关对违反治安管理行为人提出的事实、理由和证据，应当进行复核。	正确	错误		A
判断题	84	违反治安管理行为人提出的事实、理由或者证据，公安机关应当采纳。	正确	错误		B
判断题	85	公安机关不得因违反治安管理行为人的陈述、申辩而减轻处罚。	正确	错误		B
判断题	86	治安案件调查结束后，违法行为已涉嫌犯罪的，公安机关应当移送主管机关依法追究刑事责任。	正确	错误		A
判断题	87	治安案件调查结束后，发现违反治安管理行为人有其他违法行为的，公安机关应当在对违反治安管理行为作出处罚决定的同时，通知或移送有关行政主管部门处理。	正确	错误		A
判断题	88	治安管理处罚决定书应当由作出处罚决定的人民警察签名并盖章。	正确	错误		B
判断题	89	公安机关无法当场向被处罚人宣告的，应当在三日内送达被处罚人。	正确	错误		B
判断题	90	公安机关决定不予行政拘留处罚的，应当及时通知被处罚人的家属。	正确	错误		B
判断题	91	公安机关对违法行为人作出治安管理处罚决定后，应当及时通知被处罚人的家属。	正确	错误		B
判断题	92	治安案件中有被侵害人的，公安机关应当将治安管理处罚决定书复印件或副本送达被侵害人。	正确	错误		B
判断题	93	甲因两种违反治安管理的行为，拟对其分别处以一千元和一千五百元的罚款，合并执行，则其享有听证的权利。	正确	错误		B
判断题	94	公安机关作出处一千元以上罚款的治安管理处罚决定前，应当告知违反治安管理行为人有权要求举行听证。	正确	错误		B
判断题	95	公安派出所承办的案情重大、复杂的案件，需要延长办案期限的，应当报所属公安机关批准。	正确	错误		A
判断题	96	当场作出治安管理处罚决定的，经办的人民警察应当在十二小时内报所属公安机关备案。	正确	错误		B
判断题	97	被处罚人对治安管理处罚决定不服的，可以依法申请行政复议或者提起行政诉讼。	正确	错误		A
判断题	98	治安管理处罚决定一经作出，就发生法律效力，任何单位和个人非经法定程序和理由，不得随意变更或者撤销。	正确	错误		A
判断题	99	被处罚人对治安管理处罚决定不服的，既可以申请行政复议，也可以直接提起行政诉讼。	正确	错误		A
判断题	100	对被决定给予行政拘留处罚的人，由作出决定的公安机关送达拘留所执行。	正确	错误		A
判断题	101	对被决定给予行政拘留处罚的人，由抓获嫌疑人的公安机关送达拘留所执行。	正确	错误		B
判断题	102	公安机关应当依照有关法律、行政法规的规定，在作出罚款处罚决定时，一并收缴罚款，以节约时间和资源。	正确	错误		B
判断题	103	公安机关作出罚款决定的，被处罚人可以在收到处罚决定书之日起十五日后，到指定的银行缴纳罚款。	正确	错误		B
判断题	104	受到罚款处罚的人应当自收到处罚决定书之日起十五日内，到公安机关缴纳罚款。	正确	错误		B
判断题	105	公安机关只能吊销自己发放的许可证件，无权吊销其他行政机关发放的许可证件。	正确	错误		A
判断题	106	人民警察当场收缴的罚款，应当自收缴罚款之日起两日内，交至所属的公安机关。	正确	错误		A
判断题	107	违反治安管理行为人被处二百元以下罚款，被处罚人对罚款无异议的，人民警察可以当场收缴罚款。	正确	错误		A
判断题	108	检查妇女的身体，应当由女性工作人员或者医师进行。	正确	错误		A
判断题	109	检查妇女的身体，只能由女性警察进行。	正确	错误		B
判断题	110	王某实施了盗窃违法行为，后向公安机关主动投案，且部分交待了自己的违法犯罪事实，对于王某应当减轻处罚或者不予处罚。	正确	错误		B
判断题	111	公安机关办理治安案件的期限，自立案之日起不得超过三十日；案情重大、复杂的案件时，经上一级公安机关批准，可以延长六十日。	正确	错误		B
判断题	112	新修订的《治安管理处罚法》新增了对校园欺凌的处罚规定。	正确	错误		A
判断题	113	高空抛物只有造成实际损害才会被处罚。	正确	错误		B
判断题	114	七十周岁以上的违反治安管理行为人，一律不执行行政拘留。	正确	错误		B
判断题	115	违法治安管理行为对他人造成损害的，仅需承担治安处罚责任，无需承担民事责任。	正确	错误		B
判断题	116	网络暴力行为不属于违反治安管理行为，只能通过民事诉讼解决。	正确	错误		B
判断题	117	虚构事实扰乱公共秩序的，仅需警告即可。	正确	错误		B
判断题	118	已满十六周岁不满十八周岁的未成年人一年内二次以上违反治安管理的，应当执行行政拘留。	正确	错误		B
判断题	119	正当防卫造成不法侵害人重大损害的，属于违反治安管理行为，应当减轻处罚。	正确	错误		B
判断题	120	治安违法记录封存后，任何单位和个人都不得查询。	正确	错误		B
判断题	121	教唆未成年人实施治安违法行为的，应当从重处罚。	正确	错误		A
判断题	122	单位实施治安违法行为的，只对单位进行罚款，不对个人处罚。	正确	错误		B
